"ING PSP - Settings","ING PSP - Settings"
"API Key","API Key"
"ING PSP - iDEAL","ING PSP - iDEAL"
"ING PSP - Banktransfer","ING PSP - Banktransfer"
"ING PSP - Mastercard, VISA, Maestro of V PAY","ING PSP - Mastercard, VISA, Maestro of V PAY"
"Enabled","Enabled"
"Description","Description"

"Choose your bank:","Choose your bank:"

"Payment is pending","Payment is pending"
"Payment is completed","Payment is completed"
"Payment is cancelled","Payment is cancelled"
"Payment failed with an error","Payment failed with an error"
"Amounts don't match. Possible fraud","Amounts don't match. Possible fraud"

"Your order has been received.", "Your order has been received."
"Thank you for your purchase!","Thank you for your purchase!"
"Payment instructions:","Payment instructions:"
"Please use the following data to make the banktransfer", "Please use the following data to make the banktransfer"
"ING processes the payments for", "ING processes the payments for"
"(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!", "(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!"

"Amount:","Amount:"
"Reference:","Reference:"
"Account number:","Account number:"
"IBAN:","IBAN:"
"BIC:","BIC:"
"Account holder:","Account holder:"
"City:","City:"
